x,y,z,
96.843330,415.320190,0,
134.980377,570.585144,0,
162.132919,706.878235,0,
164.191788,711.643250,0,
180.889435,520.744690,0,
185.038300,521.932007,0,
199.645355,559.431519,0,
204.582932,578.241028,0,
247.878952,537.808960,0,
248.027786,563.923523,0,
251.776337,550.567688,0,
289.406403,539.884155,0,
295.084808,558.443054,0,
296.623871,540.172241,0,
304.851288,542.929993,0,
377.446442,611.953796,0,
379.284271,618.036255,0,
382.520203,618.127686,0,
403.669739,405.288391,0,
401.468109,595.111755,0,
402.944031,421.853210,0,
410.362488,479.458893,0,
