x,y,z,
159.934937,425.475342,0,
102.202126,574.859375,0,
62.863754,715.781616,0,
65.075127,720.633301,0,
170.008667,526.600098,0,
170.008667,526.600098,0,
175.264587,527.164429,0,
188.130020,565.095459,0,
186.834137,585.914612,0,
253.471710,542.641174,0,
246.717407,570.385010,0,
255.485886,558.022278,0,
257.873352,597.012573,0,
300.044556,546.706543,0,
242.653091,624.331787,0,
299.335022,565.082153,0,
309.955688,546.020691,0,
318.337646,550.051331,0,
363.815582,612.957520,0,
373.504517,628.157715,0,
374.162048,631.965332,0,
376.499756,635.836365,0,
447.020721,476.861572,0,
380.636353,635.536011,0,
464.586975,437.953278,0,
463.491730,611.041809,0,
469.233459,415.359924,0,
477.984711,480.016022,0,
