x,y,z,
-1.307466,0.242054,3.465786,
-0.878357,0.160003,3.323304,
-0.918246,-0.374284,5.007852,
-0.359513,0.556216,2.187446,
-0.349708,0.568830,2.192716,
-0.334852,0.436525,2.211931,
-0.442780,0.337977,4.101949,
-0.417668,0.185258,4.341053,
-0.110635,0.547808,1.913959,
-0.208458,0.457936,3.796429,
-0.220975,0.352765,4.229450,
0.114291,-0.102685,6.165377,
0.547288,0.006042,6.838095,
0.435578,0.299802,5.053346,
0.407906,0.407116,4.605274,
0.665458,-0.435648,6.953161,
0.477594,0.363212,4.885051,
0.575975,0.505729,4.362947,
0.637924,0.428728,2.932073,
1.056982,0.388396,4.675404,
1.197333,0.323432,5.183194,
4.445905,0.449240,10.821727,
4.750156,-0.079996,11.053266,
4.911333,-0.523035,11.135424,
5.184055,-1.001261,11.683936,
1.797587,0.574099,3.774092,
4.741746,-0.406040,9.007360,
